city;lat;lng;country;iso3
Dolo;45.4269;12.0753;Italy;ITA
Coconuco;2.25;-76.4167;Colombia;COL
Finale Emilia;44.8333;11.2833;Italy;ITA
Sudbury;51.5537;-0.3199;United Kingdom;GBR
Wyke;53.7333;-1.7667;United Kingdom;GBR
Ramonville-Saint-Agne;43.5434;1.4787;France;FRA
Lambidou;14.3136;-9.5515;Mali;MLI
Vallūr;13.256;80.2818;India;IND
Mitane;40.1017;140.005;Japan;JPN
Hereford;34.8225;-102.4001;United States;USA
Mendrisio;45.8667;8.9833;Switzerland;CHE
Bissendorf;52.2333;8.1667;Germany;DEU
Baiersbronn;48.5058;8.3711;Germany;DEU
Joaíma;-16.65;-41.0333;Brazil;BRA
Serhetabat;35.2833;62.35;Turkmenistan;TKM
Grande Saline;19.25;-72.7833;Haiti;HTI
Restinga Sêca;-29.8167;-53.3833;Brazil;BRA
Majholi;23.5011;79.924;India;IND
Newtown;39.992;-75.4106;United States;USA
Avrillé;47.5078;-0.5878;France;FRA
Ganjām;19.387;85.0508;India;IND
Świdwin;53.7833;15.7667;Poland;POL
Kimyogarlar;39.6672;66.8461;Uzbekistan;UZB
La Flèche;47.6959;-0.0747;France;FRA
Oued Jdida;33.9333;-5.3667;Morocco;MAR
Schiffdorf;53.5358;8.6589;Germany;DEU
Fairview;40.8182;-74.0022;United States;USA
Calkiní;20.3667;-90.05;Mexico;MEX
Chāndi;25.7296;87.5195;India;IND
Riverdale;33.5639;-84.4103;United States;USA
Iṭaharā;26.55;87.62;Nepal;NPL
Jisr ez Zarqā;32.5381;34.9122;Israel;ISR
Malsch;48.8808;8.3342;Germany;DEU
Ahigbé Koffikro;5.4;-3.3833;Côte d’Ivoire;CIV
Beckingen;49.3928;6.7008;Germany;DEU
Chemmanam;9.8072;76.2774;India;IND
Gourrama;32.3333;-4.0833;Morocco;MAR
Nalerigu;10.5333;-0.3667;Ghana;GHA
Usingen;50.3344;8.5375;Germany;DEU
East Rancho Dominguez;33.8949;-118.1956;United States;USA
Brooks;50.5642;-111.8989;Canada;CAN
Yellāreddi;18.1859;78.0212;India;IND
Lānjī;21.5018;80.5406;India;IND
Sembedu;13.1298;79.5634;India;IND
Lakkundi;15.3897;75.7183;India;IND
Tecuala;22.4004;-105.46;Mexico;MEX
Castañuelas;19.7;-71.5;Dominican Republic;DOM
Nakagawa;36.7382;140.1715;Japan;JPN
Nerchinsk;51.9944;116.5556;Russia;RUS
Pursa;26.3019;86.4778;India;IND
Washington;39.7494;-77.5579;United States;USA
Kunnumēl;9.35;76.4;India;IND
Krasnohorivka;48.0067;37.5128;Ukraine;UKR
Escaldes-Engordany;42.5089;1.5408;Andorra;AND
Lolotique;13.55;-88.35;El Salvador;SLV
Lālejīn;34.9742;48.4756;Iran;IRN
Mykolaiv;49.5247;23.9789;Ukraine;UKR
Kew Green;51.5308;-0.2248;United Kingdom;GBR
Hickory Hills;41.7248;-87.828;United States;USA
Lagangilang;17.61;120.73;Philippines;PHL
San Juan;10.27;125.18;Philippines;PHL
Barra do Sul;-26.4572;-48.6114;Brazil;BRA
Sardinal;10.5343;-85.6955;Costa Rica;CRI
Badarpur;24.8685;92.5961;India;IND
Kela Khera;29.09;79.19;India;IND
Ammūr;12.975;79.3628;India;IND
Aghbal;34.9394;-2.1272;Morocco;MAR
Vinanivao;-15.8833;50.2667;Madagascar;MDG
Sindhnūr;15.77;76.7556;India;IND
Aizubange;37.5615;139.8216;Japan;JPN
Kentville;45.0775;-64.4958;Canada;CAN
Castanet-Tolosan;43.5164;1.4989;France;FRA
Morlaix;48.5783;-3.8267;France;FRA
Poděbrady;50.1425;15.1189;Czechia;CZE
Torelló;42.0495;2.265;Spain;ESP
Aiyampuzha;10.25;76.4667;India;IND
Holliston;42.1977;-71.445;United States;USA
Kurate;33.8;130.6667;Japan;JPN
Lake Arbor;38.9105;-76.8304;United States;USA
Vakhsh;37.7108;68.8311;Tajikistan;TJK
Qumqo‘rg‘on;37.8278;67.5972;Uzbekistan;UZB
Chapelle-lez-Herlaimont;50.4667;4.2833;Belgium;BEL
Beizhou;29.1636;112.6811;China;CHN
Quan’ancun;25.1345;114.2646;China;CHN
Cumayeri;40.8736;30.9508;Turkey;TUR
Tsabit;28.3503;-0.2208;Algeria;DZA
Sisian;39.5208;46.0322;Armenia;ARM
Coquimatlán;19.2038;-103.8086;Mexico;MEX
Naxxar;35.915;14.4447;Malta;MLT
Nastola;60.95;25.9333;Finland;FIN
Valangimān;10.8897;79.394;India;IND
Dimiao;9.62;124.17;Philippines;PHL
Stolac;43.0825;17.9558;Bosnia and Herzegovina;BIH
Swansea;38.5507;-89.9858;United States;USA
Sassenheim;52.2258;4.5225;Netherlands;NLD
Jhandāpur;25.3995;86.9479;India;IND
Sahakevo;-20.2833;47.8333;Madagascar;MDG
Chemax;20.655;-87.9372;Mexico;MEX
West Wickham;51.3765;-0.0193;United Kingdom;GBR
Parapatti;12.1083;78.0198;India;IND
Cerro Maggiore;45.6;8.95;Italy;ITA
Kizel;59.05;57.6667;Russia;RUS
Bohodukhiv;50.1617;35.5256;Ukraine;UKR
Tarumã;-22.7467;-50.5772;Brazil;BRA
Branchburg;40.5629;-74.714;United States;USA
Bacuag;9.6081;125.6405;Philippines;PHL
Przeworsk;50.0667;22.5;Poland;POL
Doukouya;6.4333;-5.55;Côte d’Ivoire;CIV
Champāpur;26.8881;84.834;India;IND
Highland Springs;37.5516;-77.3285;United States;USA
Ngolobougou;12.1733;-6.7089;Mali;MLI
Grefrath;51.3333;6.3333;Germany;DEU
San Tomas;15.8792;120.5883;Philippines;PHL
Lidzbark Warmiński;54.1167;20.5833;Poland;POL
Sera;34.5869;133.0567;Japan;JPN
Le Raincy;48.9;2.5167;France;FRA
Ālampur;15.8793;78.1334;India;IND
Oldsmar;28.0506;-82.6698;United States;USA
Greensburg;40.3113;-79.5445;United States;USA
Shepshed;52.7711;-1.2951;United Kingdom;GBR
Nisko;50.52;22.1394;Poland;POL
Hanamsāgar;15.8722;76.0431;India;IND
Fiorenzuola d’Arda;44.9333;9.9;Italy;ITA
Sopelana;43.3814;-2.9792;Spain;ESP
Breaza;45.1872;25.6622;Romania;ROU
Ravels;51.3667;5;Belgium;BEL
Udelnaya;55.6355;38.0479;Russia;RUS
Tayum;17.62;120.66;Philippines;PHL
Harchoune;36.1139;1.5056;Algeria;DZA
Bailleul;50.7392;2.7333;France;FRA
Hedehusene;55.6547;12.1953;Denmark;DNK
Boulder City;35.8407;-114.9257;United States;USA
Yuchi;23.9;120.9333;Taiwan;TWN
Cujubim;-9.3628;-62.5853;Brazil;BRA
Vellālāpuram;11.6525;77.938;India;IND
Barharwā;24.8571;87.779;India;IND
Ayní;39.3975;68.5406;Tajikistan;TJK
Grecia;10.0693;-84.3136;Costa Rica;CRI
Tamani;13.1167;-7.8333;Mali;MLI
Kondrovo;54.8;35.9333;Russia;RUS
Chāilāha;26.6738;84.8801;India;IND
Drahichyn;52.1833;25.15;Belarus;BLR
Chegdomyn;51.1178;133.0241;Russia;RUS
Ambérieu-en-Bugey;45.9631;5.3541;France;FRA
Nagarūr;8.7333;76.85;India;IND
Red Oak;32.5212;-96.7866;United States;USA
Sterling;41.7996;-89.6956;United States;USA
Qiaoyang;35.0716;104.1846;China;CHN
Mori;42.1;140.5833;Japan;JPN
Forest City;28.6619;-81.4444;United States;USA
Bromborough;53.336;-2.978;United Kingdom;GBR
Berlare;51.025;4.0025;Belgium;BEL
Salida;37.7083;-121.0842;United States;USA
Niquinohomo;11.9;-86.1;Nicaragua;NIC
Jever;53.5744;7.9008;Germany;DEU
Chīpurupalle;18.3;83.5667;India;IND
Niedernhausen;50.1667;8.3167;Germany;DEU
Madhuban;26.4386;85.1357;India;IND
Tremelo;50.9833;4.7;Belgium;BEL
Terra Rica;-22.7167;-52.6333;Brazil;BRA
Gabane;-24.6667;25.7833;Botswana;BWA
Belmont;35.2212;-81.0401;United States;USA
Avalpūndurai;11.231;77.7182;India;IND
Koumaïra;15.7864;-3.8642;Mali;MLI
Huitán;15.1;-91.6167;Guatemala;GTM
Nzalat Laadam;32.1;-7.95;Morocco;MAR
Varnsdorf;50.9117;14.6183;Czechia;CZE
San Mateo del Mar;16.2;-94.9833;Mexico;MEX
Isny im Allgäu;47.6919;10.0394;Germany;DEU
San Vito;8.84;-82.9784;Costa Rica;CRI
Bela Vista do Paraíso;-23;-51.2;Brazil;BRA
Haga;36.5483;140.0582;Japan;JPN
Le Bourget;48.9353;2.4256;France;FRA
Chislehurst;51.412;0.075;United Kingdom;GBR
Navashino;55.55;42.2;Russia;RUS
Jinta;37.8573;102.5775;China;CHN
Taurianova;38.35;16.0167;Italy;ITA
Timissa;13.8167;-4.2;Mali;MLI
Illzach;47.7831;7.3486;France;FRA
Botelhos;-21.6328;-46.395;Brazil;BRA
Monterrey;4.8783;-72.8972;Colombia;COL
Betsukai;43.4;145.1167;Japan;JPN
Hariharpāra;24.0468;88.4244;India;IND
Grândola;38.17;-8.56;Portugal;PRT
Tall Abyaḑ;36.6975;38.9567;Syria;SYR
Hückeswagen;51.145;7.3417;Germany;DEU
Mercaderes;1.8;-77.1667;Colombia;COL
Kumāramangalam;11.3676;77.93;India;IND
Lemon Hill;38.5172;-121.4573;United States;USA
Cabral;18.25;-71.2167;Dominican Republic;DOM
Vuhledar;47.7792;37.2483;Ukraine;UKR
Tendūkheda;23.3962;79.5395;India;IND
Tadjourah;11.7833;42.8833;Djibouti;DJI
Nevel;56.0333;29.9167;Russia;RUS
Ponto Novo;-10.8619;-40.1339;Brazil;BRA
Schwabmünchen;48.1789;10.755;Germany;DEU
Cabañas;14.9333;-89.8;Guatemala;GTM
Cherrapunji;25.284;91.721;India;IND
Port Antonio;18.1757;-76.4503;Jamaica;JAM
Kumārīpur;25.4425;87.6217;India;IND
Nenmini;11.0528;76.2083;India;IND
Fort Payne;34.4559;-85.6965;United States;USA
Tanque Verde;32.2687;-110.7437;United States;USA
Kochkor-Ata;41.0319;72.4833;Kyrgyzstan;KGZ
Warwick;40.2503;-75.0818;United States;USA
Huixcolotla;18.9147;-97.7736;Mexico;MEX
Petrovaradin;45.25;19.8667;Serbia;SRB
Cândido de Abreu;-24.5833;-51.3333;Brazil;BRA
Ilkley;53.925;-1.822;United Kingdom;GBR
Patrocínio Paulista;-20.6394;-47.2817;Brazil;BRA
Józefosław;52.1069;21.0392;Poland;POL
Radzyń Podlaski;51.7828;22.6242;Poland;POL
Benipati;26.4442;85.9083;India;IND
Comox;49.6733;-124.9022;Canada;CAN
Astravyets;54.6136;25.9553;Belarus;BLR
Ighrem n’Ougdal;31.2333;-7.4333;Morocco;MAR
Cerritos;22.4275;-100.2783;Mexico;MEX
Buerarema;-14.95;-39.3167;Brazil;BRA
Whitefish Bay;43.1131;-87.9003;United States;USA
Ogíjares;37.1167;-3.6;Spain;ESP
Dehmoí;40.2167;69.5167;Tajikistan;TJK
La Carolina;38.2667;-3.6167;Spain;ESP
San Julian;11.7536;125.4558;Philippines;PHL
Anta;41.0073;-8.625;Portugal;PRT
Gryazovets;58.8833;40.25;Russia;RUS
Al Mālikīyah;26.1008;50.4878;Bahrain;BHR
Weizhou;21.0214;109.1214;China;CHN
Muthallath al Azraq;31.8342;36.815;Jordan;JOR
Fameck;49.3;6.11;France;FRA
Sullivan;43.0923;-75.8794;United States;USA
Devarapalle;17.03;81.37;India;IND
Merate;45.7;9.4333;Italy;ITA
Pālod;8.7033;77.0264;India;IND
Città Sant’Angelo;42.5167;14.05;Italy;ITA
Baguley;53.399;-2.276;United Kingdom;GBR
Waunakee;43.1829;-89.4447;United States;USA
Kapiri Mposhi;-13.9772;28.6847;Zambia;ZMB
Shuichecun;24.09;116.0174;China;CHN
Dęblin;51.5667;21.8614;Poland;POL
